indice,tiempo_s,adc_raw,ecg_filtrado,bpm_estimado
612,1.698912,347,19.372042,
613,1.701688,347,19.429779,
614,1.704464,345,19.181261,
615,1.707240,345,18.492777,
616,1.710016,345,17.601834,
617,1.712792,345,16.847496,
618,1.715568,346,16.432393,
619,1.718344,345,16.341755,
620,1.721120,346,16.370297,
621,1.723896,345,16.369421,
622,1.726672,344,16.120675,
623,1.729448,345,15.638481,
624,1.732224,345,15.264234,
625,1.735000,345,15.100490,
626,1.737776,346,15.106606,
627,1.740552,346,15.271251,
628,1.743328,347,15.530838,
629,1.746104,348,15.919801,
630,1.748880,348,16.426586,
631,1.751656,348,16.860471,
632,1.754432,347,17.008511,
633,1.757208,347,16.785302,
634,1.759984,347,16.340539,
635,1.762760,345,15.724904,
636,1.765536,343,14.722069,
637,1.768312,343,13.398022,
638,1.771088,345,12.342755,
639,1.773864,345,11.972845,
640,1.776640,346,12.133937,
641,1.779416,346,12.547740,
642,1.782192,345,12.914130,
643,1.784968,344,12.915255,
644,1.787744,343,12.441279,
645,1.790520,342,11.555429,
646,1.793296,342,10.471043,
647,1.796072,343,9.591797,
648,1.798848,344,9.284178,
649,1.801624,343,9.452549,
650,1.804400,343,9.666549,
651,1.807176,343,9.716003,
652,1.809952,343,9.620547,
653,1.812728,342,9.355840,
654,1.815504,342,8.922454,
655,1.818280,342,8.484741,
656,1.821056,344,8.335785,
657,1.823832,344,8.613712,
658,1.826608,345,9.129801,
659,1.829384,345,9.672237,
660,1.832160,344,10.034153,
661,1.834936,343,9.984392,
662,1.837712,343,9.550875,
663,1.840488,342,8.899700,
664,1.843264,341,8.057460,
665,1.846040,342,7.193845,
666,1.848816,341,6.581838,
667,1.851592,340,6.117846,
668,1.854368,338,5.475785,
669,1.857144,337,4.478853,
670,1.859920,339,3.454269,
671,1.862696,340,2.997011,
672,1.865472,341,3.258305,
673,1.868248,341,3.957557,
674,1.871024,342,4.793156,
675,1.873800,342,5.578188,
676,1.876576,342,6.125207,
677,1.879352,341,6.256823,
678,1.882128,340,5.908694,
679,1.884904,338,5.103533,
680,1.887680,337,3.941210,
681,1.890456,337,2.702795,
682,1.893232,338,1.779824,
683,1.896008,338,1.354667,
684,1.898784,337,1.220724,
685,1.901560,337,1.118767,
686,1.904336,339,1.200009,
687,1.907112,340,1.725515,
688,1.909888,340,2.502788,
689,1.912664,340,3.131193,
690,1.915440,340,3.483634,
691,1.918216,339,3.582507,
692,1.920992,338,3.365924,
